,hand_tool_model,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
1.937000,165.231155,-645.083069,1015.019958,-15.288433,17.220070,-32.367332,1
1.949000,158.448349,-652.909851,1017.981445,-15.704258,17.379704,-31.942114,1
1.962000,154.027573,-661.590210,1020.589844,-16.099676,17.454275,-31.486111,1
1.974000,149.798386,-670.315613,1023.154480,-16.493021,17.530985,-31.014750,1
1.987000,147.195129,-679.867004,1025.512817,-16.882048,17.542236,-30.539579,1
1.999000,142.898697,-690.651672,1028.612915,-17.352619,17.588825,-30.096867,1
2.012000,141.669083,-703.130676,1031.554077,-17.823658,17.496725,-29.670181,1
2.024000,137.548447,-715.321533,1035.082397,-18.347923,17.514776,-29.262358,1
2.037000,135.445374,-726.567017,1037.870605,-18.801094,17.476126,-28.863737,1
2.049000,132.908127,-739.469360,1041.327148,-19.328007,17.427359,-28.486990,1
2.062000,130.654953,-752.560852,1044.847778,-19.859255,17.373613,-28.111219,1
2.074000,129.409576,-766.111023,1048.293335,-20.387918,17.286745,-27.731533,1
2.087000,128.216415,-782.103088,1052.699097,-21.005613,17.182505,-27.335026,1
2.099000,128.371445,-798.586792,1057.127808,-21.618671,17.035482,-26.931833,1
2.112000,128.735733,-816.586548,1062.328857,-22.291580,16.867218,-26.538769,1
2.124000,128.051193,-832.461975,1067.122192,-22.911161,16.770679,-26.162085,1
2.137000,128.398315,-846.049866,1070.847168,-23.431391,16.659817,-25.806498,1
2.149000,127.368820,-857.324463,1074.041992,-23.894154,16.633181,-25.464258,1
2.162000,125.516632,-867.656921,1077.197266,-24.340380,16.649239,-25.138990,1
2.174000,121.928391,-877.379089,1080.568604,-24.798679,16.731993,-24.845421,1
2.187000,119.979057,-886.130981,1083.186279,-25.190729,16.765383,-24.552105,1
2.199000,117.001160,-894.209290,1085.816650,-25.574873,16.850567,-24.266472,1
2.212000,115.542046,-900.922729,1087.364258,-25.875885,16.896229,-23.974762,1
2.224000,113.985603,-907.686523,1089.064575,-26.181911,16.953787,-23.679258,1
2.237000,110.981430,-912.232666,1090.013428,-26.424850,17.099194,-23.382757,1
2.249000,108.178787,-915.258850,1090.206055,-26.604288,17.248398,-23.098013,1
2.262000,103.236946,-915.613892,1089.592285,-26.712708,17.505508,-22.830420,1
2.274000,98.370041,-913.096497,1087.500854,-26.704575,17.767597,-22.594805,1
2.287000,91.503365,-908.632935,1085.110352,-26.655388,18.104300,-22.405327,1
2.299000,81.901169,-898.126648,1080.437622,-26.407423,18.595671,-22.234354,1
2.312000,71.025917,-884.628296,1074.814941,-26.060644,19.140404,-22.099983,1
2.324000,58.468689,-866.949280,1067.894287,-25.572073,19.779804,-21.975691,1
2.337000,43.914337,-850.421387,1062.479858,-25.161436,20.484167,-21.859818,1
2.349000,29.926317,-832.316589,1056.506226,-24.675859,21.165709,-21.756405,1
2.362000,15.323598,-814.422791,1051.234619,-24.208347,21.864244,-21.659031,1
2.374000,0.153507,-794.459290,1045.564941,-23.669420,22.589264,-21.574593,1
2.387000,-16.623554,-772.757446,1040.208130,-23.088636,23.396896,-21.477922,1
2.399000,-35.781696,-748.965332,1035.328613,-22.463074,24.317774,-21.371492,1
2.412000,-52.244720,-721.459961,1028.795410,-21.651199,25.150526,-21.251944,1
2.424000,-70.340591,-692.181885,1022.920105,-20.800526,26.057499,-21.130074,1
2.437000,-91.568825,-658.359497,1017.510925,-19.817162,27.133099,-20.971746,1
2.449000,-111.446983,-626.682190,1013.402161,-18.902206,28.124575,-20.829094,1
2.462000,-131.653641,-593.806580,1009.994324,-17.931812,29.151695,-20.632656,1
2.474000,-149.212967,-564.203735,1007.334106,-17.041245,30.045067,-20.425688,1
2.487000,-169.012787,-536.348572,1006.879333,-16.241081,31.019667,-20.201540,1
2.499000,-187.361740,-507.386047,1006.321533,-15.370466,31.942026,-19.957724,1
2.512000,-205.792755,-476.973938,1006.255737,-14.433940,32.881424,-19.675596,1
2.524000,-223.972336,-445.600525,1006.748901,-13.451235,33.813793,-19.378889,1
2.537000,-245.812485,-413.482880,1009.739441,-12.502512,34.886475,-19.121878,1
2.549000,-266.028931,-377.942688,1012.485596,-11.355979,35.938801,-18.742037,1
2.562000,-286.265656,-340.490601,1016.072205,-10.094805,37.016418,-18.271925,1
2.574000,-307.102905,-302.577179,1021.159790,-8.767644,38.133282,-17.701612,1
2.587000,-326.516815,-266.098114,1026.806519,-7.423356,39.183746,-17.058054,1
2.599000,-347.353333,-234.994034,1034.717529,-6.302078,40.236916,-16.474094,1
2.612000,-366.763794,-198.400452,1042.553467,-4.867444,41.281803,-15.725874,1
2.624000,-386.505005,-166.512405,1051.761963,-3.611641,42.291489,-15.025781,1
2.637000,-406.655640,-139.970993,1062.085083,-2.549780,43.271221,-14.358113,1
2.649000,-422.581970,-113.674873,1070.480347,-1.375685,44.072365,-13.576180,1
2.662000,-439.544159,-95.388428,1079.777466,-0.541179,44.846245,-12.897913,1
2.674000,-451.257843,-80.251923,1085.873047,0.233256,45.365173,-12.229233,1
2.687000,-467.479980,-69.491371,1094.789795,0.817556,46.043732,-11.573044,1
2.699000,-479.867645,-60.543995,1101.203369,1.352396,46.536568,-10.959146,1
2.712000,-490.918396,-51.302650,1106.908569,1.921971,46.968971,-10.333750,1
2.724000,-502.279968,-40.751972,1113.063477,2.540267,47.418289,-9.714826,1
2.737000,-513.141846,-29.314772,1119.066772,3.220666,47.845257,-9.060662,1
2.749000,-525.960327,-15.422070,1126.854736,4.013654,48.369194,-8.362655,1
2.762000,-540.303040,0.823817,1136.352539,4.944082,48.972237,-7.585308,1
2.774000,-553.663757,16.678360,1145.357788,5.873294,49.522408,-6.813456,1
2.787000,-567.029724,32.742302,1154.846924,6.872616,50.068661,-5.964245,1
2.799000,-579.639404,45.268497,1163.550903,7.749494,50.554352,-5.131950,1
2.812000,-593.294983,54.908638,1172.931152,8.515370,51.069942,-4.324052,1
2.824000,-606.880798,61.814999,1182.048706,9.171585,51.565929,-3.548396,1
2.837000,-618.579590,67.790970,1189.675415,9.797669,51.968601,-2.790226,1
2.849000,-628.589355,73.047966,1196.027222,10.393497,52.289494,-2.057424,1
2.862000,-637.297424,72.934128,1200.412231,10.672211,52.530594,-1.514819,1
2.874000,-644.360413,69.345200,1202.967651,10.793653,52.682549,-1.028446,1
2.887000,-648.643127,60.139862,1202.303223,10.634888,52.687019,-0.660693,1
2.899000,-649.799744,44.372040,1198.195679,10.122852,52.534321,-0.466249,1
2.912000,-648.573181,24.307583,1191.814209,9.406635,52.270149,-0.345576,1
2.924000,-644.609497,-0.463222,1183.084961,8.447562,51.885239,-0.334502,1
2.937000,-639.102661,-28.082598,1173.521118,7.334014,51.447063,-0.404699,1
2.949000,-632.202637,-54.785004,1163.656494,6.258862,50.967670,-0.471778,1
2.962000,-626.567688,-78.631310,1155.682739,5.300709,50.570446,-0.521502,1
2.974000,-622.092529,-101.004776,1149.192627,4.391533,50.243095,-0.581989,1
2.987000,-619.644531,-122.169090,1144.771118,3.569496,50.022743,-0.578726,1
2.999000,-615.710022,-144.979111,1139.711792,2.687253,49.747818,-0.580737,1
3.012000,-611.166077,-170.474533,1134.728271,1.712811,49.462994,-0.578021,1
3.024000,-606.827209,-200.135590,1130.763428,0.549104,49.210838,-0.635239,1
3.037000,-601.771973,-231.206024,1127.077759,-0.725586,48.943424,-0.787568,1
3.049000,-597.617310,-258.167664,1124.362915,-1.816961,48.725700,-0.889220,1
3.062000,-594.347595,-281.944031,1122.399170,-2.788067,48.551632,-0.985095,1
3.074000,-592.112427,-303.894104,1121.416138,-3.681005,48.430859,-1.064408,1
3.087000,-588.609192,-325.521973,1119.797852,-4.534163,48.265072,-1.103734,1
3.099000,-584.192383,-353.902344,1119.167725,-5.702458,48.092251,-1.248895,1
3.112000,-572.164673,-389.697296,1115.438843,-7.217466,47.612747,-1.518595,1
3.124000,-559.095154,-429.337067,1113.034302,-8.903909,47.125027,-1.833048,1
3.137000,-542.905579,-467.835358,1109.534546,-10.503207,46.523556,-2.075214,1
3.149000,-526.770508,-512.307617,1109.431030,-12.405451,45.972298,-2.433927,1
3.162000,-508.808380,-548.072327,1106.821167,-13.874023,45.327579,-2.614855,1
3.174000,-492.158691,-580.443726,1105.155273,-15.208911,44.738106,-2.773236,1
3.187000,-475.563141,-615.540222,1105.762451,-16.708883,44.170471,-3.013749,1
3.199000,-461.947235,-641.069336,1105.469360,-17.746048,43.712292,-3.074435,1
3.212000,-445.499054,-668.699524,1105.181885,-18.870680,43.159122,-3.138053,1
3.224000,-427.817535,-696.682800,1105.315552,-19.962929,42.604034,-3.100404,1
3.237000,-407.013245,-728.639893,1106.593628,-21.223995,41.971771,-3.066523,1
3.249000,-385.654449,-758.832214,1107.911621,-22.399002,41.334541,-2.981370,1
3.262000,-362.221436,-787.699829,1108.616699,-23.527266,40.608345,-2.888533,1
3.274000,-339.895538,-814.023499,1109.678345,-24.576242,39.912102,-2.812642,1
3.287000,-318.547516,-837.318298,1110.537231,-25.521357,39.225204,-2.754083,1
3.299000,-299.271393,-857.958923,1111.677979,-26.373169,38.604786,-2.703483,1
3.312000,-280.790619,-876.906128,1112.940063,-27.162188,38.009048,-2.646734,1
3.324000,-264.039978,-895.386475,1115.336548,-27.936369,37.504307,-2.575238,1
3.337000,-245.651657,-915.199524,1118.476685,-28.767452,36.959297,-2.491182,1
3.349000,-222.005066,-936.373291,1121.042358,-29.638739,36.224422,-2.358802,1
3.362000,-198.437500,-959.497070,1125.811890,-30.603472,35.549343,-2.209436,1
3.374000,-172.014313,-983.859924,1131.383179,-31.642313,34.759129,-2.082736,1
3.387000,-144.380524,-1008.757507,1138.043823,-32.729324,33.920231,-1.975430,1
3.399000,-115.622765,-1032.685425,1144.808105,-33.785492,33.020576,-1.862960,1
3.412000,-87.442352,-1057.209595,1153.463379,-34.898602,32.145660,-1.782266,1
3.424000,-57.186516,-1081.980225,1162.983032,-36.032841,31.190847,-1.683725,1
3.437000,-27.172426,-1108.465088,1175.493530,-37.279732,30.275969,-1.601072,1
3.449000,2.333520,-1132.609985,1187.520874,-38.427376,29.353893,-1.496696,1
3.462000,28.406504,-1155.494263,1200.609619,-39.544785,28.553545,-1.421193,1
3.474000,51.428139,-1174.854736,1212.126709,-40.500427,27.847704,-1.323927,1
3.487000,72.217514,-1192.696533,1223.517212,-41.395103,27.226809,-1.221599,1
3.499000,90.972115,-1208.979248,1234.415161,-42.220154,26.699545,-1.093898,1
3.511000,109.753136,-1222.863770,1243.562622,-42.928207,26.116547,-0.959999,1
3.524000,124.379669,-1235.553101,1252.487793,-43.587387,25.729677,-0.821995,1
3.536000,139.759827,-1248.443481,1262.005493,-44.271851,25.287209,-0.701832,1
3.549000,153.355881,-1261.024536,1271.880981,-44.953819,24.932627,-0.581461,1
3.561000,-438.205017,-727.468628,1063.884033,-23.365643,40.721466,-5.832532,1
3.574000,-431.040710,-743.360413,1065.130127,-24.031372,40.450863,-5.933380,1
3.586000,180.710129,-1289.363403,1294.368652,-46.532364,24.284529,-0.279903,1
3.599000,-426.573761,-765.996094,1068.698730,-25.024994,40.271564,-6.124892,1
3.611000,-429.156036,-772.552368,1070.687256,-25.332548,40.363834,-6.195911,1
3.624000,-863.580444,-63.490765,1190.402100,1.860035,57.048714,-3.305158,1
3.636000,-438.633850,-779.510193,1073.757935,-25.622089,40.753242,-6.172936,1
3.649000,-444.653351,-781.160400,1075.048828,-25.649117,41.022888,-6.083200,1
3.661000,-451.966187,-783.636780,1077.568604,-25.735899,41.343704,-6.048910,1
