,parent_frame,child_frame,posx,posy,posz,rotx,roty,rotz,rotw
37,base,tool0_controller,2.21222825269e-05,-0.600009063748,-0.0755586862826,0.920832717294,0.355413091801,0.107091577111,0.119499100621
38,base,tool0_controller,3.13418130998e-05,-0.600024391359,-0.0755431294579,0.920820669922,0.355420155242,0.107122528744,0.119543175998
39,base,tool0_controller,1.76001497935e-05,-0.600033178735,-0.0755468195524,0.920837085576,0.355386997101,0.107100790823,0.119534784579
40,base,tool0_controller,2.15577975708e-06,-0.600026505717,-0.0755490368048,0.92083639247,0.355394447611,0.107106798275,0.119512587926
41,base,tool0_controller,-3.35102104638e-05,-0.600025355195,-0.0755794390466,0.92086058053,0.355341759641,0.107111775248,0.119478419321
42,base,tool0_controller,2.29188339192e-05,-0.600022094146,-0.0755572182227,0.920836153033,0.355383802214,0.107132766011,0.119522813044
43,base,tool0_controller,1.85578604376e-05,-0.600023682653,-0.0755763182783,0.920834458151,0.355396393742,0.107132524105,0.119498645499
44,base,tool0_controller,4.5949582555e-06,-0.600044563377,-0.0755620713863,0.92084156415,0.355383005822,0.107106632786,0.119506912435
45,base,tool0_controller,4.25462282039e-06,-0.600031254117,-0.0755476055952,0.920841576922,0.355383955544,0.10710428795,0.119506091295
46,base,tool0_controller,-2.6855030687e-05,-0.60002899623,-0.075541773538,0.920845173687,0.355370020714,0.107107322693,0.119517094595
48,base,tool0_controller,-1.07364699306e-05,-0.600031570884,-0.0755595095401,0.920847462051,0.355369482301,0.107099327692,0.119508228555
49,base,tool0_controller,-2.55036379745e-05,-0.600043374698,-0.0755402474625,0.920842118292,0.355377578684,0.107103288783,0.119521777425
50,base,tool0_controller,2.98829874382e-05,-0.600026201295,-0.0755709258023,0.92083487826,0.355391521068,0.107154222358,0.119490444654
51,base,tool0_controller,1.56889253581e-05,-0.60001073956,-0.0755822961214,0.920835896281,0.355407606703,0.107111567506,0.119472998304
52,base,tool0_controller,2.30723592857e-05,-0.599993544478,-0.0755578163974,0.920838928904,0.35539313928,0.107119688453,0.119485379493
53,base,tool0_controller,6.28048892491e-06,-0.600035605178,-0.0755336521366,0.92083212616,0.35539618625,0.107117815631,0.119530413726
54,base,tool0_controller,-3.84783128491e-05,-0.600025904451,-0.0755732784761,0.920858435155,0.355352273491,0.107092471981,0.119480988334
55,base,tool0_controller,-6.26113080534e-06,-0.600053859797,-0.0755650751118,0.920835685859,0.355392188978,0.107103741171,0.119527487587
56,base,tool0_controller,-1.61694126813e-05,-0.600033941681,-0.0755397889663,0.920837029259,0.355400079628,0.107087303405,0.119508403035
57,base,tool0_controller,-6.74801267575e-06,-0.600021318306,-0.0755692100431,0.920841442031,0.355383696973,0.107106901341,0.119505557397
59,base,tool0_controller,1.18033789674e-05,-0.600035091363,-0.075552303563,0.92084210416,0.355379820826,0.107109023889,0.119510079734
60,base,tool0_controller,-1.62689586719e-05,-0.600046224163,-0.0755267883567,0.920847013758,0.355373377471,0.107081159116,0.119516380472
61,base,tool0_controller,1.27678679987e-05,-0.600026712131,-0.0755787918576,0.920842451231,0.355390177414,0.107119818886,0.11946692517
62,base,tool0_controller,-1.73845075829e-06,-0.600033112625,-0.0755579504442,0.920847556303,0.355378398881,0.107087180171,0.119491872122
63,base,tool0_controller,-1.46098493157e-06,-0.600009031598,-0.0755575225463,0.920846455722,0.355364816311,0.107124996361,0.119506851127
64,base,tool0_controller,7.05892063806e-06,-0.600021166389,-0.0755658047011,0.920838239076,0.355399042908,0.107099514829,0.119491220092
65,base,tool0_controller,1.40609305476e-05,-0.599997615925,-0.0755724692684,0.920844787248,0.355369457856,0.107144376395,0.119488530116
66,base,tool0_controller,1.94854609037e-05,-0.599997626314,-0.0755668598517,0.920834454828,0.355403846812,0.107120202609,0.119487550254
67,base,tool0_controller,-8.23795282071e-06,-0.600045839118,-0.0755499673852,0.920837314678,0.355398498913,0.107079076705,0.119518275588
68,base,tool0_controller,-1.32113382151e-06,-0.600002301654,-0.0755903192651,0.920841190985,0.355386426862,0.10713292237,0.119476045852
70,base,tool0_controller,2.46028042098e-06,-0.600008564355,-0.0755686055807,0.920845358528,0.355376766999,0.1071228105,0.119481725072
71,base,tool0_controller,-1.00134943968e-05,-0.600038713995,-0.0755701428756,0.920856262214,0.355354645448,0.107099676627,0.119484223083
72,base,tool0_controller,-2.0305980272e-05,-0.600037480488,-0.0755516514898,0.920851081611,0.355359708382,0.107108106516,0.119501534186
73,base,tool0_controller,3.85796573092e-05,-0.600010445292,-0.0755637332948,0.920831596352,0.355403872292,0.107135249935,0.119496012239
