,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
1.362000,135.203568,65.852791,2579.908203,-0.028923,-0.027928,0.007932,1
1.375000,135.203217,65.850014,2579.931641,-0.034482,-0.014750,0.006842,1
1.387000,135.201553,65.853340,2579.898682,-0.089760,-0.005782,0.002652,1
1.400000,135.203400,65.848709,2579.915527,-0.064896,0.009466,0.000111,1
1.412000,135.203629,65.850937,2579.922852,-0.106646,0.046929,0.002454,1
1.425000,135.204224,65.848160,2579.929932,-0.057153,-0.033192,0.006130,1
1.437000,135.206650,65.850220,2579.910156,-0.029029,-0.061436,0.001114,1
1.450000,135.205444,65.848129,2579.897217,-0.053108,0.028805,-0.003375,1
1.462000,135.204163,65.849228,2579.911133,0.001907,-0.051153,-0.000483,1
1.475000,135.205582,65.850449,2579.912109,-0.025650,-0.041533,0.004435,1
1.487000,135.211777,65.850098,2579.925293,-0.037092,0.026677,0.008099,1
1.500000,135.205109,65.851570,2579.921143,-0.047612,-0.048653,0.005478,1
1.512000,135.207397,65.850548,2579.934570,-0.027706,0.045408,-0.001391,1
1.525000,135.208328,65.852867,2579.930664,-0.106020,-0.017268,0.007970,1
1.537000,135.207062,65.848839,2579.922363,-0.072431,0.012828,-0.005642,1
1.550000,135.209198,65.848633,2579.940186,-0.051462,-0.018597,0.004312,1
1.562000,135.206421,65.848969,2579.941650,-0.059213,-0.004676,0.007356,1
1.575000,135.207108,65.848946,2579.926758,-0.047578,0.009040,0.006249,1
1.587000,135.208298,65.849548,2579.918945,-0.112158,-0.034366,-0.004381,1
1.600000,135.206238,65.851357,2579.927002,-0.068668,-0.001253,-0.003088,1
1.612000,135.206680,65.850868,2579.912598,-0.011587,-0.009419,0.006224,1
1.625000,135.205765,65.853874,2579.941650,-0.079265,0.026674,0.002174,1
1.637000,135.207352,65.851982,2579.957520,-0.110879,-0.000997,0.007232,1
1.650000,135.206680,65.851357,2579.939697,-0.018169,-0.033588,0.010758,1
1.662000,135.206604,65.851173,2579.930664,0.006386,0.062893,0.002054,1
1.675000,135.210281,65.847267,2579.917969,-0.053508,-0.013240,0.006039,1
1.687000,135.209656,65.851212,2579.933838,-0.059632,-0.053290,-0.001465,1
1.700000,135.209015,65.846336,2579.919434,-0.050055,-0.052311,0.011320,1
1.712000,135.207291,65.851646,2579.948486,-0.039880,0.041171,0.004129,1
1.725000,135.209335,65.849243,2579.923828,-0.086396,-0.015749,0.003480,1
1.737000,135.207458,65.850899,2579.938477,-0.087733,-0.033605,0.004788,1
1.750000,135.206314,65.853195,2579.927490,-0.036326,-0.020058,0.007951,1
1.762000,135.207626,65.853798,2579.916992,-0.043155,0.019515,0.004362,1
1.775000,135.205429,65.851074,2579.945068,-0.081722,-0.013582,0.002865,1
1.787000,135.206467,65.854691,2579.926514,-0.059999,-0.014166,0.000135,1
1.800000,135.207123,65.848038,2579.935547,-0.093041,-0.033200,-0.002555,1
1.812000,135.205505,65.848289,2579.930908,-0.035661,-0.025140,0.000911,1
1.825000,135.206711,65.851532,2579.937256,-0.056626,0.023098,0.002479,1
1.837000,135.207382,65.850334,2579.915283,-0.025617,-0.002353,0.013702,1
1.850000,135.205872,65.850861,2579.930664,-0.067672,-0.009606,-0.002067,1
1.862000,135.208374,65.845833,2579.928955,-0.047849,-0.032859,0.011184,1
1.875000,135.209366,65.851692,2579.919678,0.014063,-0.038468,0.004810,1
1.887000,135.210007,65.845802,2579.926758,-0.074832,0.091316,-0.002968,1
1.900000,135.206787,65.850357,2579.936523,-0.067605,-0.008538,0.015363,1
1.912000,135.211990,65.852409,2579.934326,-0.065580,-0.017112,0.001418,1
1.925000,135.208328,65.850685,2579.934814,-0.079183,-0.049782,0.005479,1
1.937000,135.209885,65.849564,2579.921143,-0.074195,-0.037101,0.003862,1
1.950000,135.204437,65.848923,2579.915039,-0.073244,0.006331,-0.002043,1
1.962000,135.206451,65.851738,2579.925537,-0.030236,-0.021761,0.005479,1
