,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
1.300000,-165.836121,62.012043,2855.744141,22.808979,-10.471042,-8.662745,1
1.312000,-165.841568,62.012062,2855.763184,22.809759,-10.451219,-8.655377,1
1.325000,-165.842194,62.008560,2855.760986,22.850052,-10.470346,-8.657047,1
1.337000,-165.843765,62.014610,2855.764404,22.873587,-10.419810,-8.659210,1
1.350000,-165.842224,62.015087,2855.767822,22.788691,-10.490392,-8.659512,1
1.362000,-165.842072,62.011349,2855.746582,22.876568,-10.459108,-8.657162,1
1.375000,-165.842712,62.011730,2855.751465,22.821011,-10.486567,-8.667609,1
1.387000,-165.843765,62.009441,2855.765869,22.800533,-10.434244,-8.674981,1
1.400000,-165.839691,62.014156,2855.764404,22.862972,-10.431194,-8.662456,1
1.412000,-165.838486,62.008438,2855.768311,22.772532,-10.483372,-8.664155,1
1.425000,-165.836990,62.011559,2855.747803,22.730711,-10.480419,-8.669429,1
1.437000,-165.835526,62.013531,2855.758789,22.791033,-10.432442,-8.671248,1
1.450000,-165.830948,62.011665,2855.721191,22.823221,-10.416312,-8.657628,1
1.462000,-165.840073,62.011948,2855.776367,22.855616,-10.399972,-8.656658,1
1.475000,-165.836426,62.008499,2855.738037,22.773806,-10.508995,-8.677164,1
1.487000,-165.837982,62.009266,2855.749268,22.852476,-10.464761,-8.652552,1
1.500000,-165.836166,62.005848,2855.750977,22.708862,-10.435000,-8.670692,1
1.512000,-165.839005,62.014240,2855.776855,22.823233,-10.479759,-8.668396,1
1.525000,-165.835449,62.012608,2855.740967,22.882524,-10.442782,-8.654671,1
1.537000,-165.839371,62.008522,2855.756836,22.822292,-10.463037,-8.665861,1
1.550000,-165.837128,62.011372,2855.741455,22.822882,-10.384567,-8.656668,1
1.562000,-165.838058,62.011795,2855.744385,22.828794,-10.494166,-8.661989,1
1.575000,-165.838364,62.012619,2855.750488,22.828920,-10.496113,-8.657224,1
1.587000,-165.833511,62.012737,2855.732178,22.887972,-10.452461,-8.661592,1
1.600000,-165.837128,62.009304,2855.747803,22.779453,-10.478905,-8.660356,1
1.612000,-165.835526,62.007080,2855.748779,22.877934,-10.468155,-8.661916,1
1.625000,-165.831543,62.009201,2855.753662,22.828897,-10.432691,-8.655423,1
1.637000,-165.834793,62.009148,2855.745361,22.777895,-10.486493,-8.669580,1
1.650000,-165.830429,62.010075,2855.740723,22.801556,-10.472559,-8.662672,1
1.662000,-165.832916,62.011337,2855.744141,22.837687,-10.475271,-8.660883,1
1.675000,-165.832138,62.008831,2855.745117,22.811625,-10.498103,-8.676303,1
1.687000,-165.835236,62.014034,2855.755371,22.774845,-10.523511,-8.662625,1
1.700000,-165.830994,62.014027,2855.752197,22.751373,-10.443372,-8.675073,1
1.712000,-165.838913,62.011333,2855.768066,22.860950,-10.492418,-8.657023,1
1.725000,-165.835648,62.006611,2855.747559,22.776937,-10.441709,-8.669744,1
1.737000,-165.835480,62.008389,2855.737793,22.848206,-10.448887,-8.664214,1
1.750000,-165.841049,62.011253,2855.774658,22.903593,-10.550207,-8.653611,1
1.762000,-165.840607,62.008717,2855.739746,22.847874,-10.473786,-8.658422,1
1.775000,-165.839737,62.008724,2855.759033,22.829269,-10.472329,-8.651637,1
1.787000,-165.840958,62.013111,2855.749512,22.855389,-10.473747,-8.654320,1
1.800000,-165.832230,62.008385,2855.731201,22.909590,-10.481958,-8.654151,1
1.812000,-165.836090,62.004875,2855.747803,22.872730,-10.467643,-8.658622,1
1.825000,-165.838455,62.010921,2855.770996,22.777943,-10.463899,-8.668624,1
1.837000,-165.829086,62.013988,2855.737061,22.783178,-10.416366,-8.669498,1
1.850000,-165.836273,62.009514,2855.752930,22.876173,-10.433529,-8.659307,1
1.862000,-165.831528,62.009716,2855.773926,22.794847,-10.495546,-8.663391,1
1.875000,-165.835587,62.011250,2855.762207,22.838789,-10.472957,-8.665146,1
1.887000,-165.830612,62.009838,2855.758301,22.742535,-10.432733,-8.672183,1
1.900000,-165.831619,62.010460,2855.742432,22.810976,-10.441277,-8.667972,1
1.912000,-165.833939,62.008656,2855.755615,22.819479,-10.574093,-8.669515,1
1.925000,-165.834564,62.011318,2855.767334,22.882219,-10.511074,-8.658992,1
1.937000,-165.835236,62.011391,2855.744629,22.822866,-10.453341,-8.670918,1
1.950000,-165.833481,62.009163,2855.744873,22.883293,-10.483835,-8.660233,1
1.962000,-165.833206,62.010334,2855.737305,22.800591,-10.518492,-8.669124,1
1.975000,-165.836151,62.013912,2855.766357,22.840998,-10.414577,-8.654963,1
