 X, Y, Z,Yaw,Pitch, Roll
18.145,33.866,4.306,-89.0447,-0.6574,-0.5718
18.145,33.866,4.306,-89.0442,-0.6571,-0.5714
18.144,33.866,4.306,-89.0437,-0.6568,-0.571
18.144,33.866,4.305,-89.0432,-0.6566,-0.5706
18.144,33.866,4.306,-89.0426,-0.6563,-0.5701
18.144,33.866,4.306,-89.0421,-0.656,-0.5697
18.144,33.866,4.305,-89.0416,-0.6557,-0.5693
18.144,33.866,4.305,-89.0411,-0.6555,-0.5689
18.144,33.866,4.305,-89.0406,-0.6552,-0.5685
18.144,33.866,4.305,-89.04,-0.6549,-0.568
18.144,33.866,4.305,-89.0395,-0.6546,-0.5676
18.144,33.866,4.305,-89.039,-0.6543,-0.5672
18.144,33.866,4.305,-89.0385,-0.6541,-0.5668
18.144,33.867,4.305,-89.038,-0.6538,-0.5664
18.143,33.867,4.305,-89.0375,-0.6535,-0.5659
18.143,33.867,4.305,-89.0369,-0.6533,-0.5655
18.143,33.867,4.305,-89.0364,-0.653,-0.5651
18.143,33.867,4.305,-89.0359,-0.6527,-0.5647
18.144,33.866,4.305,-89.0354,-0.6524,-0.5643
18.143,33.866,4.305,-89.0349,-0.6522,-0.5639
18.143,33.867,4.305,-89.0344,-0.6519,-0.5635
18.143,33.867,4.305,-89.0339,-0.6516,-0.5631
18.143,33.867,4.305,-89.0333,-0.6514,-0.5627
18.143,33.867,4.305,-89.0329,-0.6511,-0.5623
18.142,33.867,4.305,-89.0323,-0.6508,-0.5618
18.143,33.867,4.305,-89.0318,-0.6506,-0.5614
18.143,33.867,4.305,-89.0313,-0.6503,-0.561
18.142,33.867,4.305,-89.0308,-0.65,-0.5606
18.142,33.867,4.305,-89.0303,-0.6497,-0.5602
18.142,33.867,4.305,-89.0298,-0.6495,-0.5598
18.142,33.867,4.305,-89.0293,-0.6492,-0.5594
18.142,33.867,4.305,-89.0288,-0.6489,-0.559
18.142,33.867,4.305,-89.0283,-0.6487,-0.5586
18.142,33.867,4.305,-89.0278,-0.6484,-0.5582
18.142,33.867,4.305,-89.0273,-0.6481,-0.5578
18.142,33.867,4.305,-89.0268,-0.6479,-0.5574
18.142,33.867,4.305,-89.0263,-0.6477,-0.557
18.142,33.867,4.305,-89.0258,-0.6474,-0.5566
18.141,33.867,4.305,-89.0253,-0.6472,-0.5562
18.141,33.867,4.305,-89.0248,-0.6469,-0.5558
18.141,33.867,4.305,-89.0243,-0.6466,-0.5554
18.142,33.867,4.305,-89.0238,-0.6464,-0.555
18.141,33.867,4.305,-89.0233,-0.6461,-0.5546
18.142,33.867,4.305,-89.0228,-0.6458,-0.5542
18.141,33.867,4.305,-89.0223,-0.6455,-0.5538
18.141,33.867,4.305,-89.0218,-0.6453,-0.5534
18.141,33.867,4.305,-89.0213,-0.645,-0.553
18.141,33.867,4.305,-89.0208,-0.6448,-0.5526
18.141,33.867,4.305,-89.0203,-0.6445,-0.5522
18.141,33.867,4.305,-89.0198,-0.6443,-0.5518
18.14,33.867,4.305,-89.0193,-0.644,-0.5514
18.141,33.867,4.305,-89.0188,-0.6437,-0.551
18.14,33.867,4.305,-89.0183,-0.6435,-0.5506
18.14,33.867,4.305,-89.0178,-0.6432,-0.5502
18.14,33.867,4.305,-89.0173,-0.6429,-0.5498
18.14,33.867,4.305,-89.0168,-0.6427,-0.5494
