,parent_frame,child_frame,posx,posy,posz,rotx,roty,rotz,rotw
24,base,tool0_controller,0.353912938692,-0.711351761027,0.0297579572222,0.7069801423,7.00256288012e-05,0.000100938618421,0.707233386727
25,base,tool0_controller,0.353938517019,-0.711347168184,0.0296963356223,0.707000164681,8.88174118496e-05,0.000122715500541,0.707213365395
26,base,tool0_controller,0.35393169901,-0.711321134751,0.0297320433513,0.706995669315,8.57710874591e-05,9.92929464555e-05,0.70721786343
27,base,tool0_controller,0.353910352618,-0.711325130575,0.0297151919924,0.707000640273,8.40983208402e-05,8.59577912618e-05,0.707212895946
29,base,tool0_controller,0.353937808115,-0.711333992577,0.0297556564696,0.706983149258,7.2324764272e-05,0.000107583520259,0.707230379622
30,base,tool0_controller,0.353933124819,-0.711313314639,0.0297208687507,0.707001375332,7.18266451258e-05,9.65579265615e-05,0.707212161092
31,base,tool0_controller,0.353918356199,-0.711369122203,0.0297662471657,0.70696479186,0.000111495060694,9.96208853024e-05,0.707248726202
32,base,tool0_controller,0.353912196404,-0.711338375729,0.0297154036466,0.707020627432,8.370192001e-05,0.000112669518518,0.707192910517
33,base,tool0_controller,0.353896128739,-0.71131621847,0.0297107537879,0.707018207399,7.8365613045e-05,5.90453141272e-05,0.707195337073
34,base,tool0_controller,0.353932262552,-0.711314620551,0.0297343516538,0.707016097451,0.000106428521692,9.34715003657e-05,0.707197439108
35,base,tool0_controller,0.353911563952,-0.711350390455,0.0297458857363,0.706995936573,5.50847230403e-05,7.76660368012e-05,0.707217602017
36,base,tool0_controller,0.353899874878,-0.711343157437,0.0297236718009,0.706997331501,8.54883887967e-05,7.81631347021e-05,0.707216204447
37,base,tool0_controller,0.353905080345,-0.711329847661,0.029710821492,0.706998496447,7.78782254476e-05,8.36519009822e-05,0.707215040111
38,base,tool0_controller,0.353902588975,-0.71130942195,0.0297028463467,0.707033219635,9.33877368642e-05,7.66144461629e-05,0.70718032477
39,base,tool0_controller,0.35391442359,-0.711298936987,0.0296888974303,0.707016722084,9.49967688122e-05,9.32908587066e-05,0.707196816287
41,base,tool0_controller,0.353926881481,-0.711307571932,0.0297053972644,0.707020618294,8.83247210214e-05,9.05696917739e-05,0.707192922266
42,base,tool0_controller,0.353912562261,-0.711329712588,0.0297252628009,0.707010861885,8.06974713914e-05,0.000114541664558,0.707202673599
43,base,tool0_controller,0.353901850006,-0.711311695203,0.0296678314915,0.707021282828,8.42529548417e-05,7.72300506261e-05,0.707192259973
44,base,tool0_controller,0.353936628862,-0.711347306925,0.0297529626693,0.706984264386,9.27779877428e-05,0.000107197569882,0.707229262553
45,base,tool0_controller,0.353914921693,-0.711368658099,0.029746262427,0.706980114208,5.65112299728e-05,9.65840512746e-05,0.707233416626
46,base,tool0_controller,0.353926106907,-0.711379742467,0.0297705908442,0.706958965007,7.20317736645e-05,9.79479109664e-05,0.707254556022
47,base,tool0_controller,0.353917607698,-0.711351527616,0.029738026443,0.706979520315,7.84097184705e-05,8.94085212016e-05,0.70723400916
48,base,tool0_controller,0.353919013468,-0.711345646188,0.0297277586669,0.706994198012,7.09986990931e-05,9.68723148888e-05,0.70721933624
49,base,tool0_controller,0.353931216121,-0.711298502179,0.0297017079415,0.707024032389,0.000115240398665,0.00010673070593,0.707189502858
50,base,tool0_controller,0.35392988458,-0.711335354413,0.0297670410085,0.706987353103,9.51041556876e-05,8.48258055602e-05,0.707226177621
52,base,tool0_controller,0.353885730962,-0.711362208216,0.0297597676694,0.706998449354,5.75760897681e-05,8.71693139871e-05,0.707215088709
53,base,tool0_controller,0.353911369003,-0.71134225657,0.0297536829649,0.706977909051,5.90748897963e-05,0.000100322031465,0.707235620256
54,base,tool0_controller,0.353886747288,-0.711339689129,0.0297344580593,0.707015772894,0.000101026825567,7.7460016491e-05,0.707197766309
55,base,tool0_controller,0.353913908533,-0.711348738975,0.0297344221425,0.706994566964,7.37935399578e-05,7.62138715734e-05,0.707218969647
56,base,tool0_controller,0.353915840481,-0.711335824748,0.0297403932854,0.706989035501,8.81153672674e-05,9.66784990966e-05,0.707224495171
57,base,tool0_controller,0.353921334804,-0.711362544136,0.0297719907053,0.706966536648,6.20826712871e-05,7.55500137073e-05,0.707246991155
58,base,tool0_controller,0.353898689774,-0.711330151879,0.0297402458473,0.707006506109,7.61144598001e-05,8.34596944175e-05,0.707207033025
59,base,tool0_controller,0.353932187184,-0.711354062341,0.029782622009,0.706966198481,8.20926759406e-05,9.7778163081e-05,0.707247324424
60,base,tool0_controller,0.353903223174,-0.71131350139,0.0296999931192,0.707014009031,7.92373154869e-05,8.75639359049e-05,0.707199531312
61,base,tool0_controller,0.353919714953,-0.711312421119,0.029710684539,0.707020648962,0.00010771536422,6.91577218072e-05,0.707192891336
63,base,tool0_controller,0.353905911875,-0.711341643996,0.0297342927387,0.706983255463,6.90125679e-05,9.56910443908e-05,0.707230275494
64,base,tool0_controller,0.353956364298,-0.71134897781,0.0297713936591,0.706971859536,0.000100992293051,0.000108396618223,0.707241661581
65,base,tool0_controller,0.353911517641,-0.711348846675,0.0297451531005,0.706987706075,6.12460836099e-05,9.38887220176e-05,0.707225827365
