,polo,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
4.032000,156.685074,110.352066,2,192.306396,-0.050165,0.065713,0.003568,1
4.065000,156.549683,110.433456,2,186.969727,-0.058771,0.016588,-0.002849,1
4.098000,156.369415,110.456573,2,179.961670,-0.043006,0.034546,-0.007229,1
4.132000,156.260422,110.363373,2,171.776855,-0.046902,0.026607,0.000404,1
4.165000,156.247604,110.351845,2,163.283936,-0.040692,0.076103,-0.001023,1
4.198000,156.239151,110.324173,2,154.510254,-0.047510,-0.041365,-0.005798,1
4.232000,156.141342,110.322693,2,146.174316,-0.050097,-0.110500,-0.011363,1
4.265000,155.849991,110.307076,2,138.118652,-0.039941,0.014529,-0.005645,1
4.298000,155.632355,110.282761,2,129.965088,-0.039799,-0.004561,-0.006465,1
4.332000,155.469513,110.280945,2,121.843262,-0.041058,0.013750,-0.003579,1
4.365000,155.364990,110.271881,2,113.551514,-0.027359,0.074103,-0.004959,1
4.398000,155.353348,110.255501,2,104.821045,-0.023708,0.070458,-0.004473,1
4.431000,155.261307,110.233681,2,096.226074,-0.028101,-0.008053,-0.008824,1
4.465000,155.117661,110.243919,2,087.924316,-0.040678,0.011578,-0.008186,1
4.498000,155.002701,110.243790,2,079.622803,-0.031768,0.075698,-0.002735,1
4.531000,154.762955,110.191216,2,071.577148,-0.035571,-0.027436,-0.007059,1
4.565000,154.540710,110.193092,2,063.464355,-0.042922,0.012370,-0.006240,1
4.598000,154.404877,110.184784,2,054.899414,-0.021422,0.036990,-0.001980,1
4.631000,154.311539,110.139870,2,046.447998,-0.030185,-0.034045,-0.008465,1
4.665000,154.224579,110.116776,2,038.041382,-0.037045,-0.011161,-0.004045,1
4.698000,154.207993,110.088081,2,029.543701,-0.030047,0.020453,-0.002169,1
4.731000,154.028366,110.099174,2,021.371582,-0.032454,-0.046797,-0.008584,1
4.765000,153.880280,110.151886,2,014.178223,-0.031423,0.005780,-0.010192,1
4.798000,153.816483,110.087929,2,007.995483,-0.008893,-0.061436,-0.008432,1
4.831000,153.840103,110.082886,2,003.443604,-0.001900,-0.032243,-0.010878,1
4.865000,153.847076,110.093185,2,000.431274,-0.011817,-0.039406,-0.008785,1
4.898000,153.795166,110.056801,1,998.843994,-0.019492,-0.047607,-0.007487,1
4.931000,153.696564,109.996178,1,998.538574,-0.005652,0.012097,0.003358,1
